OBJECTID,DescSeg,TipoPNV,CODIGO
5385,SERRA GRANDE - SÃO JOSE DE CAIANA,Implantada,382EPB0030
5386,CARRAPATEIRA - ENTR. PB-394 (NAZAREZINHO),Leito Natural,384EPB0030
5387,NAZAREZINHO - ENTR. PB-348 (SÃO GONCALO),Implantada,384EPB0050
5388,ENTR. PB-384 (SÃO GONCALO) - ENTR. BR-230,Pavimentada,348EPB0070
5389,APARECIDA DA FARTURA - ENTR. GO-518,Em obras de pavimentação,324EGO0020
5390,NOVO PLANALTO - ENTR. GO-060(A) (FIRMINOPOLIS),Pavimentada,164EGO0390
5391,SANTO ANTONIO - NOVO PLANALTO,Pavimentada,164EGO0370
5392,ENTR. GO-050(B)/445 (S?O JOAO DA PARAUNA) - SANTO ANTONIO,Pavimentada,164EGO0350
5393,ENTR. BR-060(GUAPO) - ENTR. GO-050 (SANTA MARIA),Leito Natural,219EGO0140
5394,ENTR. GO-060(B) - ENTR. GO-222(A)/326 (ANICUNS),Leito Natural,156EGO0130
5395,MOSSAMEDES - ENTR. BR-070(A)/GO-070(A),Pavimentada,164EGO0510
5396,ENTR. GO-154 (ARUCU) - CAPELINHA,Leito Natural,222EGO0170
5397,CAPELINHA - ENTR. GO-156(A),Em obras de pavimentação,222EGO0180
